,User @,Comment Text,original_comment
657,chanpadhil1,tetep optimis indonesia majukan tersedia kota nusantara,"['itu kata Bpk, Saya tetep optimis INDONESIA bisa maju pak gak perlu ada IKN 😂😂']"
658,charlesmanalu240,salam hormat jokowi semoga sehat umurhoras,"['salam hormat buat pak Jokowi ,semoga sehat dan panjang umur.Horas']"
659,chellyourrs_,yahh semoga konser2nya jakarta,"['yahh, smg ttp konser2nya di jkt']"
660,chengda5,mnta kerjaan,['mnta kerjaan pak.']
661,cherrygaol,hore terealisasikan sekian dipersiapkan semoga pemindahan kota nusantara tahap majukan nya indonesia,['yey akhirnya terealisasikan setelah sekian lama dipersiapkan🥰 semoga dngn pemindahan IKN ini bisa menjadi tahap awal dari MAJU NYA INDONESIA']
662,chofifah2312,astagfirullah mn pemerintah majukan masyarakat sulit mencari pekerjaan makan sehari² sulit,['Astagfirullah.\ndi mn negara maju????\n.\ndi sekitar kita masyarakat sulit mencari pekerjaan untuk makan sehari² masih sulit pak?']
663,chris25120_,kota pola rakyat,['ibu kota baru harus Pola rakyat baru 🥰']
664,chris_purnama,mendukung,"['SAYA SANGAT MENDUKUNG, 🥰🥰🥰']"
665,christianwahono,jos banget pakde jokowi pakde prabowo semoga sehet njih,"['jos bangat pakde jokowi sama pakde prabowo semoga sehet"" selalu njih']"
666,christofergabriel8,orang tinggal kalimantan kalimantan timur,"['sudah siap dong. orang saya tinggal di Kalimantan di, Kalimantan timur lagi']"
667,chuaanpin,,"['🥰🥰🥰🥰🥰🥰🥰🥰🥰', '🥰🥰🥰🥰🥰🥰🥰🥰🥰']"
668,chukka612,majukan terjajah utang piutang,['maju tapi terjajah yakin dlm hal apa dlm utang piutang']
669,chuppa76,setuju biar merata,['setuju lah biar merata']
670,ciayoo_,hutannya habis,['Hutannya habis 🥲']
671,cicikurniaci,mimpiii,['Mimpiii']
672,ciiiiiaaa__,setuju banget salamakalsehat,['setuju bgt. #salamakalsehat']
673,cinereboyyy,kedubes pemerintah mengubah kalimantan,['kedubes negara lain juga pindah dong pak ke kalimantan?']
674,cintaposi,mantap jokowi mantap jokowi,"['mantap jokowi baik', 'mantap jokowi baik']"
675,cipfaa5,selamat to kalimantan,['welcome to Kalimantan 😍']
676,citatocitos_,kota mengubah jakarta kota kolaborasi cuyy,['ibu kota pindah Jakarta jadi kota kolaborasi cuyy']
677,ciuhalim,kalimantan berkorban tanah air tolong abaikan saudara tersedia kesemptan kerja,"['kalimantan sudah berkorban tanah air mereka, tolong jgn abaikan saudara kami disana jika ada kesemptan kerja dahulu kan mereka']"
678,cix_pong,fisik nya butuh dana bangun fisik butuh fisik tenda alami adem pikir pemerintah,['bukan fisik nya tapi butuh dana bangun fisik😁😁. kalau bukan butuh fisik bikin tenda saja pak😁😁. lebih alami lebih adem mikirin negara 😁']
679,clat664,ujungnya masuk kantong tikus,"['ujung""nya masuk ke kantong tikus']"
680,clxiavrl,upacara 17 agustus selenggarakan kota sih,['upacara 17 Agustus tahun ini di selenggarakan di ibu kota baru ga sii']
681,cobacoba_85,setuju presidenku,['setuju presidenku🥰🥰']
682,codename_z94,lapangan kerja menampung pengangguran indonesia,['yg penting lapangan kerja banyak utk menampung pengangguran di indo']
683,cokopfftt,nasib hutan yah,['nasib hutan gimana nanti ya']
684,comment_biru,surabaya,['mending di Surabaya']
685,controversy_maniac,was was pas lulus persaingan kerja susah,['jadi was was nanti pas lulus persaingan kerja makin susah🥺']
686,cordelia.05,takut hutan nya lenyap,['takut hutan nya lenyap🥺']
687,counter_aulia,kota nusantara mengubah murah yah ongkos kirim belanja,['IKN pindah bakal murah ga ya ongkir belanja 😂']
688,cowomanis12,syuliitt berhutang,['akan tetap syuliitt.. apabila berhutang terus']
689,crfndell,jakarta tenggelam kalimantan hutan gundul,"['jkt tenggelam , kalimantan hutan gundul']"
690,cucunya_kakekk,tersedia lahan uang,['karna ada lahan cuan']
691,cuigeckjxnzkd,,"['benar sangat siap', 'benar sangat siap']"
692,cutnyak665,utang,['sekali pun kita punya utang.']
693,cz.mrae,pikir pikir anak belajar nya kota indonesia Indonesia,['kalo di pikir pikir nanti anak gw belajar nya Ibu kota Indonesia Nusantara']
694,czxy_v,takut kalimantan paru paru dunia,['gw cuma takut Kalimantan ga jadi paru paru dunia lagi']
695,d0n9h3r1k,perintah undang undang,['perintah undang undang']
696,d14n194,terpenting ciptakan lapangan pekerjaan anak cucu,['yang terpenting ciptakan lapangan pekerjaan yg lebih baik dan lebih banyak lagi demi masa depan anak & cucu kita nnti pak ....']
697,d_bagindoz,numpang doang,['Numpang ngakak doang😂😂😂😂']
698,daawah.islam,lihat yah orang2 pesimistis komentar 10,['liat yah orang2 pesimistis di komen ini 10 tahun lagi']
699,dafapratama9220,panggil infestorkan tersedia 11 trliun kantong,['gk usah panggil infestor...kan sdh ada 11 trliun dkantong bpk']
700,daffa_3472,bingung presiden,['gw bingung siapa jadi presiden nanti 🗿']
701,daffa_sandjaya,warga jiran pintar menilai kota nusantara,['warga jiran malah lebih pintar menilai IKN.']
702,dafidalfian,sulawesi,['dekat Sulawesi donk 😂']
703,dafiiiiiiiiiiiiii,rencana mantap jakarta setahun turun permukaan tanah nya salah solusi,['rencana yg sangat mantab ...jika Jakarta setahun turun terus ....permukaan tanah nya ini salah satu solusi']
704,dallkrnwn_,semoga pindahnya kota menjadikan indonesia ekonomi,['semoga dengan pindahnya ibu kota baru menjadikan Indonesia dengan ekonomi yang baik']
